stock_locate,tracking_number,timestamp,mpid,primary_market_maker,market_maker_mode,market_participant_state
7389,0,0 days 03:07:16.569902257,CANT,1,N,A
4598,0,0 days 03:07:16.569978290,CSTI,1,N,A
3849,0,0 days 03:07:16.569994507,CSTI,1,N,A
2145,0,0 days 03:07:16.570042082,CSTI,1,N,A
448,0,0 days 03:07:16.570057084,ETMM,1,N,A
7799,0,0 days 03:07:16.570073337,GTSM,1,N,A
8216,0,0 days 03:07:16.570087224,JSSF,1,N,A
4217,0,0 days 03:07:16.570104335,NITE,1,N,A
4248,0,0 days 03:07:16.570118887,WBLR,1,N,A
6657,0,0 days 03:07:16.570160613,WBLR,1,N,A
3682,0,0 days 03:07:16.570174988,CDRG,1,N,A
5817,0,0 days 03:07:16.570190656,CTDL,1,N,A
5772,0,0 days 03:07:16.570204568,ETMM,1,N,A
6837,0,0 days 03:07:16.570218736,BARD,1,N,A
8635,0,0 days 03:07:16.570232591,GSCO,1,N,A
3974,0,0 days 03:07:16.570247025,GTSM,1,N,A
1966,0,0 days 03:07:16.570261447,LEHM,1,N,A
4712,0,0 days 03:07:16.570276302,MAXM,1,N,A
27,0,0 days 03:07:16.570290653,RBCM,1,N,A
3398,0,0 days 03:07:16.570304393,RBCM,1,N,A
8858,0,0 days 03:07:16.570318831,SOHO,1,N,A
2314,0,0 days 03:07:16.570333919,SOHO,1,N,A
4789,0,0 days 03:07:16.570348074,COWN,1,N,A
4041,0,0 days 03:07:16.570364636,ETMM,1,N,A
6699,0,0 days 03:07:16.570378793,GTSM,1,N,A
1088,0,0 days 03:07:16.570393643,KBWI,1,N,A
2371,0,0 days 03:07:16.570407631,LEHM,1,N,A
2456,0,0 days 03:07:16.570421498,MLCO,1,N,A
8600,0,0 days 03:07:16.570435438,MZHO,1,N,A
1719,0,0 days 03:07:16.570449288,PIPR,1,N,A
8817,0,0 days 03:07:16.570462829,WABR,1,N,A
946,0,0 days 03:07:16.570476708,BKCM,1,N,A
2358,0,0 days 03:07:16.570489990,CANT,1,N,A
4996,0,0 days 03:07:16.570504188,COWN,1,N,A
4741,0,0 days 03:07:16.570517773,CANT,1,N,A
6882,0,0 days 03:07:16.570531293,COWN,1,N,A
4370,0,0 days 03:07:16.570545440,BARD,1,N,A
5604,0,0 days 03:07:16.570560114,OTAA,1,N,A
8543,0,0 days 03:07:16.570573741,RAJA,1,N,A
5003,0,0 days 03:07:16.570589614,SOHO,1,N,A
1160,0,0 days 03:07:16.570603473,BKCM,1,N,A
1627,0,0 days 03:07:16.570617742,ETMM,1,N,A
6072,0,0 days 03:07:16.570631907,JEFF,1,N,A
3370,0,0 days 03:07:16.570645403,NITE,1,N,A
5287,0,0 days 03:07:16.570659062,NATL,1,N,A
4026,0,0 days 03:07:16.570673199,SGAS,1,N,A
2694,0,0 days 03:07:16.570687140,STFL,1,N,A
2573,0,0 days 03:07:16.570700851,STFL,1,N,A
3688,0,0 days 03:07:16.570714666,SUFI,1,N,A
4628,0,0 days 03:07:16.570728549,UBSS,1,N,A
3287,0,0 days 03:07:16.570742487,WBLR,1,N,A
8816,0,0 days 03:07:16.570755790,ADAM,1,N,A
2826,0,0 days 03:07:16.570769641,CDRG,1,N,A
5700,0,0 days 03:07:16.570784331,CDRG,1,N,A
893,0,0 days 03:07:16.570797535,ETMM,1,N,A
7356,0,0 days 03:07:16.570813532,ETMM,1,N,A
8432,0,0 days 03:07:16.570827650,GTSM,1,N,A
4732,0,0 days 03:07:16.570841488,VALX,1,N,A
7785,0,0 days 03:07:16.570854880,VALX,1,N,A
7612,0,0 days 03:07:16.570868509,RAJA,1,N,A
3487,0,0 days 03:07:16.570882670,RBCM,1,N,A
