tag,count
DebtInstrumentInterestRateStatedPercentage,1622
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1384
LongTermDebt,1277
Revenues,1214
DebtInstrumentCarryingAmount,1196
RevenueFromContractWithCustomerExcludingAssessedTax,1099
DebtCurrent,914
AvailableForSaleSecuritiesDebtSecurities,866
PropertyPlantAndEquipmentGross,837
AllocatedShareBasedCompensationExpense,781
AssetsFairValueDisclosure,722
DebtInstrumentUnusedBorrowingCapacityAmount,557
GrossProfit,505
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,437
ShareBasedCompensation,430
CostOfRevenue,427
NetIncomeLoss,385
NetIncomeLossIncludingPortionAttributableToRedeemableNonControllingInterestAndNonControllingInterestInSubsidiaries,374
CashAndCashEquivalentsAtCarryingValue,367
NoncurrentAssets,348
DebtInstrumentFaceAmount,346
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,331
StandardProductWarrantyAccrual,322
IncomeTaxExpenseBenefit,298
ProfitLoss,290
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,290
OtherLiabilitiesNoncurrent,289
LongTermDebtFairValue,285
InventoryNet,266
PropertyPlantAndEquipmentNet,264
FiniteLivedIntangibleAssetsAccumulatedAmortization,258
OtherAssetsNoncurrent,251
InventoryWriteDown,251
StockIssuedDuringPeriodValueEquityIncentiveAwards,250
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,250
FiniteLivedIntangibleAssetsNet,244
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,232
StockIssuedDuringPeriodValueNewIssues,231
FiniteLivedIntangibleAssetsGross,230
PrepaidExpenseAndOtherAssetsCurrent,222
AccountsReceivableNetCurrent,221
ContractWithCustomerLiability,216
OtherNonoperatingIncomeExpense,215
StockholdersEquity,214
DeferredRevenue,214
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,214
WeightedAverageNumberOfSharesOutstandingBasic,211
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,207
SalesRevenueGoodsNet,205
SharesIssued,203
WeightedAverageNumberOfDilutedSharesOutstanding,201
Assets,197
OperatingLeasesIncomeStatementLeaseRevenue,195
OperatingIncomeLoss,194
OperatingExpenses,193
SellingGeneralAndAdministrativeExpense,193
ResearchAndDevelopmentExpense,193
InvestmentIncomeInterest,193
LiabilitiesCurrent,191
AssetsCurrent,191
LongTermDebtAndFinanceLeasesNoncurrent,189
AccruedAndOtherCurrentLiabilities,187
LongTermDebtAndFinanceLeasesCurrent,187
ComprehensiveIncomeNetOfTax,185
StandardProductWarrantyAccrualWarrantiesIssued,182
MinorityInterestDecreaseFromRedemptions,182
CommonStockSharesIssued,182
StandardProductWarrantyAccrualPayments,182
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,177
RetainedEarningsAccumulatedDeficit,175
Liabilities,174
FairValueNetAssetLiability,170
PaymentsToAcquirePropertyPlantAndEquipment,165
InterestExpense,165
NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1,163
ProductWarrantyAccrualPreexistingIncreaseDecrease,161
EarningsPerShareDiluted,157
PortionOfStockOptionsScheduledToVestUponSuccessfulCompletionOfPerformanceObjectives,156
EarningsPerShareBasic,153
PropertySubjectToOrAvailableForOperatingLeaseNet,152
RedeemableNoncontrollingInterestEquityCarryingAmount,152
RestrictedCashCurrent,146
DebtInstrumentBasisSpreadOnVariableRate1,145
ContractWithCustomerLiabilityCurrent,144
AccountsPayableCurrent,138
CostOfGoodsAndServicesSold,137
ContractWithCustomerLiabilityNoncurrent,136
CommonStockParOrStatedValuePerShare,134
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,133
IncreaseDecreaseInAccountsReceivable,133
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,133
AvailableForSaleDebtSecuritiesAmortizedCostBasis,131
DebtConversionConvertedInstrumentSharesIssued1,129
InterestCostsCapitalized,129
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,128
ConversionPricePerShare,128
SalesTypeLeaseNetInvestmentInLease,125
ContractWithCustomerLiabilityRevenueRecognized,125
NetCashProvidedByUsedInInvestingActivities,124
PreferredStockParOrStatedValuePerShare,124
NetIncomeLossAttributableToNoncontrollingInterest,124
PreferredStockSharesAuthorized,124
NetCashProvidedByUsedInOperatingActivities,124
PropertySubjectToOrAvailableForOperatingLeaseGross,123
CommonStockSharesAuthorized,122
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,121
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,121
RestrictedCashNoncurrent,120
UnrecognizedTaxBenefits,120
LiabilitiesFairValueDisclosure,120
DepreciationDepletionAndAmortization,120
NumberOfVehicleProduction,118
CommonStockSharesOutstanding,118
CommonStockValue,118
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,118
PreferredStockValue,118
PreferredStockSharesOutstanding,118
LiabilitiesAndStockholdersEquity,118
PreferredStockSharesIssued,118
InterestExpenseDebt,117
InterestExpenseDebtExcludingAmortization,117
CommitmentsAndContingencies,116
NoncontrollingInterestsIncreaseFromContributionsFromNoncontrollingInterests,115
ResaleValueGuarantee,115
IncreaseDecreaseInOtherNoncurrentLiabilities,112
AccumulatedOtherComprehensiveIncomeLossNetOfTax,111
DebtInstrumentConvertibleConversionPrice1,111
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,110
AmortizationOfDebtDiscountPremium,109
IntangibleAssetsNetExcludingGoodwill,108
AccruedLiabilitiesCurrent,106
AmortizationOfFinancingCosts,104
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,102
NetIncomeLossAvailableToCommonStockholdersBasic,102
DebtConversionConvertedInstrumentAmount1,102
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,101
CostOfGoodsSold,101
Goodwill,99
StockIssuedDuringPeriodSharesNewIssues,99
NetCashProvidedByUsedInFinancingActivities,97
ProceedsFromIssuanceOfCommonStock,97
SalesRevenueServicesNet,96
LineOfCreditFacilityMaximumBorrowingCapacity,95
AccruedPurchases,94
Depreciation,94
ProceedsFromIssuanceOfWarrants,94
EmployeeRelatedLiabilitiesCurrent,94
TaxesPayableCurrent,94
LeasedAssetsNet,93
IncreaseDecreaseInInventoriesAndPropertySubjectToOrAvailableForOperatingLease,92
AdditionalPaidInCapitalCommonStock,90
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,89
MinorityInterest,89
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,89
IncreaseDecreaseInResaleValueGuarantee,88
NoncashInterestIncomeExpenseAndOtherOperatingActivities,88
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageExercisePriceBeginningBalance1,88
IndefiniteLivedIntangibleAssetsExcludingGoodwill,88
OtherLiabilitiesFairValueDisclosure,87
CustomerDepositsLiabilitiesCurrent,86
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,85
NotesReceivableNet,85
LineOfCreditFacilityInterestRateDuringPeriod,84
DebtInstrumentConvertibleThresholdTradingDays,84
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,83
ProceedsFromDebtNetOfIssuanceCosts,83
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1,83
RestrictedCashAndCashEquivalentsNoncurrent,80
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit,80
RestructuringAndOtherExpenses,80
PropertySubjectToOrAvailableForOperatingLeaseAccumulatedDepreciation,80
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeUpperRangeLimit,80
NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,78
OperatingLeaseRightOfUseAsset,78
PaymentsToMinorityShareholders,78
CostOfServicesAndOther,78
DepreciationAndAmortization,78
SalesRevenueServicesAndOtherNet,78
DigitalAssetsNetNonCurrent,77
IncreaseDecreaseInOperatingLeaseVehicles,77
IncreaseDecreaseInInventories,77
OperatingLeaseLiabilityNoncurrent,76
ConcentrationRiskPercentage1,75
StockIssuedDuringPeriodValueAcquisitions,75
LossContingencyNumberOfPlaintiffs,75
AccruedWarrantyReserveNoncurrent,74
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,74
OperatingLeaseLiabilityCurrent,74
FinanceLeasePrincipalPayments,74
FiniteLivedIntangibleAssetsOther,74
DeferredCostsLeasingNetNoncurrent,74
OtherLiabilitiesMiscellaneousNoncurrent,74
FinanceLeaseLiabilityCurrent,73
IncreaseDecreaseInDeferredRevenue,73
DeferredRevenueCurrent,73
AvailableForSaleDebtSecuritiesGrossUnrealizedGain,73
DebtInstrumentInterestRateEffectivePercentage,73
FinanceLeaseLiabilityNoncurrent,73
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,72
StockIssuedDuringPeriodSharesEquityIncentiveAwards,72
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,72
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,72
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,72
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,72
AvailableForSaleDebtSecuritiesGrossUnrealizedLoss,72
DeferredRevenueNoncurrent,71
CostOfAutomotiveLeasing,71
ShortTermInvestments,70
InventoryFinishedGoodsNetOfReserves,70
InventoryWorkInProcessNetOfReserves,70
InventoryRawMaterialsNetOfReserves,70
OperatingLeasedAssetsNet,70
InventoryPartsAndComponentsNetOfReserves,70
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,70
DepreciationAmortizationAndImpairment,70
ProceedsFromConvertibleAndOtherDebt,69
BuyOutOfNoncontrollingInterest,68
IncreaseDecreaseInContractWithCustomerLiability,68
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,66
RevenueRemainingPerformanceObligation,66
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,66
IndefiniteLivedIntangibleAssetsGrossExcludingGoodwill,65
PaymentsForBuyOutsOfNoncontrollingInterestsInSubsidiaries,65
ProceedsFromRepaymentsOfLongTermDebtAndCapitalSecurities,64
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,64
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,64
FiniteLivedIntangibleAssetsLiabilitiesOther,63
DerivativeLossOnDerivative,63
DeferredIncomeTaxExpenseBenefit,63
CashCashEquivalentsAndShortTermInvestments,62
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,62
ProceedsFromIssuanceOfLongTermDebt,62
ResaleValueGuaranteesNoncurrentPortion,62
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,62
CashAndCashEquivalentsPeriodIncreaseDecrease,61
DebtInstrumentConvertibleConversionPricePercentage,61
IncreaseDecreaseInDeferredRevenueAndCustomerAdvancesAndDeposits,61
AvailableForSaleOfSecuritiesAmortizedCost,61
PaymentsToAcquireBusinessesNetOfCashAcquired,61
NoteHedgesTransactionCosts,60
IncomeLossFromContinuingOperationsPerDilutedShare,60
CustomerAdvancesCurrent,60
TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,60
IncomeLossFromContinuingOperationsPerBasicShare,60
NumberOfTranches,60
RepaymentsOfConvertibleAndOtherDebt,60
ResaleValueGuaranteesCurrentPortion,59
StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,59
CostOfRevenuesAutomotive,59
EntityCommonStockSharesOutstanding,59
DerivativeGainOnDerivative,59
AccountsReceivableThresholdPercentage,59
SalesRevenueAutomotive,59
NetIncomeLossAvailableToCommonStockholdersDiluted,59
DebtInstrumentConvertibleCarryingAmountOfTheEquityComponent,59
MarketCapitalization,58
