id,n,stock_ticker,stock_name,hedge_ticker,hedge_name,optimal_hedge_ratio
1133,6,T,AT&T INC,VOX,VANGUARD,
485,5,MDLZ,MONDELEZ INTERNATIONAL INC,XOP,SPDR S&P OIL & GAS EXPLORATION & PRODUCTION ETF,
516,5,MDLZ,MONDELEZ INTERNATIONAL INC,ERX,DIREXION DAILY,
544,5,MDLZ,MONDELEZ INTERNATIONAL INC,VDE,VANGUARD ENERGY ETF,
552,5,MDLZ,MONDELEZ INTERNATIONAL INC,DIG,PROSHARES ULTRA ENERGY,
572,5,MDLZ,MONDELEZ INTERNATIONAL INC,DJP,IPATH BLOOMBERG COMMODITY INDEX TR ETN,
593,5,MDLZ,MONDELEZ INTERNATIONAL INC,GSG,ISHARES S&P GSCI COMMODITY-INDEXED TRUST,
602,5,MDLZ,MONDELEZ INTERNATIONAL INC,FXN,FIRST TRUST,
50,4,WBA,WALGREENS BOOTS ALLIANCE INC,OIH,VANECK OIL SERVICES ETF,
129,4,WBA,WALGREENS BOOTS ALLIANCE INC,ERX,DIREXION DAILY,
