web-scraper-order,web-scraper-start-url,pdf,pdf-href
"1774857677-1","https://ir.tesla.com/#quarterly-disclosure","Download","https://assets-ir.tesla.com/tesla-contents/IR/TSLA-Q4-2025-Update.pdf"
"1774857677-2","https://ir.tesla.com/#quarterly-disclosure","10-K","https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm"
"1774857677-3","https://ir.tesla.com/#quarterly-disclosure","Download","https://assets-ir.tesla.com/tesla-contents/IR/TSLA-Q3-2025-Update.pdf"
"1774857677-4","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data/1318605/000162828025045968/tsla-20250930.htm"
"1774857677-5","https://ir.tesla.com/#quarterly-disclosure","Download","https://www.tesla.com/sites/default/files/downloads/TSLA-Q2-2025-Update.pdf"
"1774857677-6","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data/1318605/000162828025035806/tsla-20250630.htm"
"1774857677-7","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/IR/TSLA-Q1-2025-Update.pdf"
"1774857677-8","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data/1318605/000162828025018911/tsla-20250331.htm"
"1774857677-9","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA-Q4-2024-Update.pdf"
"1774857677-10","https://ir.tesla.com/#quarterly-disclosure","10-K","https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm"
"1774857677-11","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA-Q3-2024-Update.pdf"
"1774857677-12","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data/1318605/000162828024043486/tsla-20240930.htm"
"1774857677-13","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA-Q2-2024-Update.pdf"
"1774857677-14","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data/1318605/000162828024032662/tsla-20240630.htm"
"1774857677-15","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA-Q1-2024-Update.pdf"
"1774857677-16","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data/1318605/000162828024017503/tsla-20240331.htm"
"1774857677-17","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA-Q4-2023-Update.pdf"
"1774857677-18","https://ir.tesla.com/#quarterly-disclosure","10-K","https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm"
"1774857677-19","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/TSLA-Q3-2023-Update-3.pdf"
